Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDT,2020-01-29,0.9976970059,0.998955153,1.0006228038,0.9971871088
USDT,2020-01-30,0.9979611729,0.9976970059,0.9999397854,0.9965488041
USDT,2020-01-31,0.9985502392,0.9983242652,0.9997060053,0.99672
USDT,2020-02-01,0.9985025731,0.9985502925,0.9996844448,0.997814546
USDT,2020-02-02,1.0003827401,0.9989174443,1.0004711243,0.9978721081
USDT,2020-02-03,0.9994289755,1.0003827401,1.0006455045,0.996951364
USDT,2020-02-04,0.9972015374,0.9989095767,0.9995156965,0.9962093939
USDT,2020-02-05,0.9991234154,0.9972015374,1.0011477887,0.9956912609
USDT,2020-02-06,0.9987053135,0.9990398125,1.0006117793,0.9968690282
USDT,2020-02-07,0.9982492653,0.9987053135,0.9994375785,0.9947875979
USDT,2020-02-08,1.0006858221,0.9982492653,1.00342359,0.9981064864
USDT,2020-02-09,1.0002702581,1.0007427982,1.0020649572,0.9995119423
USDT,2020-02-10,0.9996407418,1.0002702581,1.0022199499,0.9975344368
USDT,2020-02-11,1.0035909627,0.9997663284,1.0065126049,0.9977729196
USDT,2020-02-12,1.002209083,1.0035909627,1.005199071,1.000982639
USDT,2020-02-13,0.9995386519,1.0021415997,1.0032739716,0.9973412571
USDT,2020-02-14,1.0022594523,1.0002819162,1.0416541959,0.9973441166
USDT,2020-02-15,0.9998338258,1.0022594523,1.0035257101,0.9987094868
USDT,2020-02-16,1.000467202,0.9998338258,1.0037687419,0.99904
USDT,2020-02-17,1.001002538,1.0011000267,1.0043983238,1.0003859404
USDT,2020-02-18,1.0024838931,1.001002538,1.0043695547,0.9999711104
USDT,2020-02-19,1.0010060677,1.0024838931,1.0037520265,0.99901
USDT,2020-02-20,1.001266615,1.0010074294,1.0026139961,0.9990683515
USDT,2020-02-21,1.0012691899,1.001266615,1.0027680938,1.000613653
USDT,2020-02-22,1.0022671395,1.0017909131,1.0027079574,1.0005169819
USDT,2020-02-23,1.0014365586,1.0022671395,1.0038351086,0.9998937307
USDT,2020-02-24,1.000567404,1.0014365586,1.0031298058,0.9993599025
USDT,2020-02-25,0.9997733926,1.000567404,1.0025107534,0.99809745
USDT,2020-02-26,0.9995391797,0.9997733926,1.001479429,0.9969428032
