Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDC,2020-03-23,0.9997826588,1.001638371,1.0033994157,0.996504894
USDC,2020-03-24,1.000341828,0.9995073727,1.0047575471,0.9984348063
USDC,2020-03-25,1.0006445645,1.000341828,1.0051041711,0.999000604
USDC,2020-03-26,1.0004148579,1.0003422528,1.0030912013,0.998994
USDC,2020-03-27,1.0012142385,1.0004148579,1.0023913041,0.9980992712
USDC,2020-03-28,1.0005254715,1.0012142385,1.0050599808,1.0000660317
USDC,2020-03-29,1.0007058064,1.0006574921,1.0019490271,0.999929868
USDC,2020-03-30,1.0004420534,1.0002736974,1.0048261306,0.99899125
USDC,2020-03-31,1.0002622228,1.0005818681,1.0026197329,0.999343236
USDC,2020-04-01,0.9994011276,1.0002622228,1.0018950962,0.9990922212
USDC,2020-04-02,1.0000733947,0.9994011276,1.0020585894,0.9973440366
USDC,2020-04-03,1.0005877392,1.0000554283,1.0017756061,0.9984706735
USDC,2020-04-04,0.9996901421,1.0005878284,1.0018363488,0.9981300589
USDC,2020-04-05,1.0006547567,1.0002422425,1.0014091739,0.9990082555
USDC,2020-04-06,1.0006147758,1.0005752727,1.001192136,0.9994285235
USDC,2020-04-07,1.0003302523,1.0006147758,1.0016216689,0.9992027479
USDC,2020-04-08,1.0000702556,1.0003302523,1.001655187,0.9989775109
USDC,2020-04-09,1.0002924573,1.0000702556,1.013298652,0.9985952345
USDC,2020-04-10,1.0001191072,1.0002924573,1.0017968636,0.9995756097
USDC,2020-04-11,1.0008461585,1.000119107,1.0024704338,0.9994219613
USDC,2020-04-12,1.0003895931,1.0008461585,1.001015157,0.9993611215
USDC,2020-04-13,1.0003244924,1.0003895931,1.0013542,0.9990309326
USDC,2020-04-14,1.0005875059,1.0003244924,1.0024531047,0.9994578974
USDC,2020-04-15,1.0006291092,1.0005875059,1.0023594254,0.9997873606
USDC,2020-04-16,0.9995066175,1.0006291092,1.0018180936,0.998433063
USDC,2020-04-17,1.0003966298,0.9995066175,1.001936379,0.9979908969
USDC,2020-04-18,0.9999572084,1.0003060013,1.0024722689,0.9989083904
USDC,2020-04-19,1.0001817839,0.9999572084,1.0011337578,0.999530853
